"Name","TID","InfoTID","SWF","HousingSpace","BarrackLevel","LaboratoryLevel","Speed","Hitpoints","TrainingTime","TrainingResource","TrainingCost","UpgradeTimeH","UpgradeResource","UpgradeCost","DonateCost","AttackRange","AttackSpeed","DPS","PreferedTargetDamageMod","DamageRadius","AreaDamageIgnoresWalls","SelfAsAoeCenter","IconSWF","IconExportName","BigPicture","BigPictureSWF","Projectile","PreferedTargetBuilding","PreferedTargetBuildingClass","DeployEffect","AttackEffect","HitEffect","HitEffect2","IsFlying","AirTargets","GroundTargets","AttackCount","DieEffect","Animation","UnitOfType","IsJumper","MovementOffsetAmount","MovementOffsetSpeed","TombStone","DieDamage","DieDamageRadius","DieDamageEffect","DieDamageDelay","DisableProduction","SecondaryTroop","IsSecondaryTroop","SecondaryTroopCnt","SecondarySpawnDist","RandomizeSecSpawnDist","PickNewTargetAfterPushback","PushbackSpeed","SummonTroop","SummonTroopCount","SummonCooldown","SummonEffect","SummonLimit","SpawnIdle","StrengthWeight","ChildTroop","ChildTroopCount","SpeedDecreasePerChildTroopLost","ChildTroop0_X","ChildTroop0_Y","ChildTroop1_X","ChildTroop1_Y","ChildTroop2_X","ChildTroop2_Y","AttackMultipleBuildings","IncreasingDamage","DPSLv2","DPSLv3","Lv2SwitchTime","Lv3SwitchTime","AttackEffectLv2","AttackEffectLv3","AttackEffectLv4","TransitionEffectLv2","TransitionEffectLv3","TransitionEffectLv4","HitEffectOffset","TargetedEffectOffset","SecondarySpawnOffset","CustomDefenderIcon","SpecialMovementMod","InvisibilityRadius","HealthReductionPerSecond","AutoMergeDistance","AutoMergeGroupSize","IsUnderground","ProjectileBounces","FriendlyGroupWeight","EnemyGroupWeight","NewTargetAttackDelay","TriggersTraps","ChainShootingDistance","PreAttackEffect","MoveTrailEffect","BecomesTargetableEffect","BoostedIfAlone","BoostRadius","BoostDmgPerfect","BoostAttackSpeed","HideEffect"
"String","String","String","String","int","int","int","int","int","int","String","int","int","String","int","int","int","int","int","int","int","boolean","boolean","String","String","String","String","String","String","String","String","String","String","String","boolean","boolean","boolean","int","String","String","int","boolean","int","int","String","int","int","String","int","boolean","String","boolean","int","int","boolean","boolean","int","String","int","int","String","int","int","int","String","int","int","int","int","int","int","int","int","boolean","boolean","int","int","int","int","String","String","String","String","String","String","int","int","int","String","int","int","int","int","int","boolean","int","int","int","int","boolean","int","String","String","String","boolean","int","int","int","String"
"Barbarian","TID_BARBARIAN","TID_CHARACTER_INFO_BARBARIAN","sc/characters.cs",1,1,1,200,45,20,"Elixir",25,6,"Elixir",50000,1,40,1000,8,1,,,,"sc/ui.sc","icon_unit_barbarian","unit_barbarian_big","sc/info_barbarian.sc",,,,"Barbarian Deploy","Barbarian Attack","Barbarian Hit",,"false","false","true",,"Barbarian Die","Barbarian",1,"false",,0,"TombStone",,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,100,100,,"true",,,,,,,,,
,,,,,,1,,54,,,40,24,,150000,,,,11,,,,,,,,,,,,,,,,,,,,,"Barbarian",1,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,,65,,,60,72,,500000,,,,14,,,,,,,,,,,,,,,,,,,,,"Barbarian3",1,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5,,78,,,100,120,,1500000,,,,18,,,,,,,,,,,,,,,,,,,,,"Barbarian3",1,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,,95,,,150,240,,4500000,,,,23,,,,,,,,,,,,,,,,,,,,,"Barbarian5",1,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7,,110,,,200,336,,6000000,,,,26,,,,,,,,,,,,,,,,,,,,,"Barbarian6",1,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,8,,125,,,250,,,,,,,30,,,,,,,,,,,,,,,,,,,,,"Barbarian7",1,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Archer","TID_ARCHER","TID_CHARACTER_INFO_ARCHER","sc/characters.cs",1,2,1,300,20,24,"Elixir",50,12,"Elixir",50000,1,350,1000,7,1,,,,"sc/ui.sc","icon_unit_archer","unit_archer_big","sc/info_archer.sc","Arrow_small",,,"Archer Deploy","Archer Attack","Archer Hit",,"false","true","true",,"Archer Die","Archer",1,"false",,0,"TombStone",,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,100,100,,"true",,,,,,,,,
,,,,,,1,,23,,,80,48,,250000,,,,9,,,,,,,,,"Arrow_small",,,,,,,,,,,,"Archer",1,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,,28,,,120,72,,750000,,,,12,,,,,,,,,"Arrow_small_fire",,,,,,,,,,,,"Archer2",1,,,,,,,,,,,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5,,33,,,200,120,,2250000,,,,16,,,,,,,,,"Arrow_small_fire",,,,,,,,,,,,"Archer2",1,,,,,,,,,,,,,,,,,,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,,40,,,300,240,,6000000,,,,20,,,,,,,,,"Arrow_small_elixirFire",,,,,,,,,,,,"Archer3",1,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7,,44,,,400,336,,7500000,,,,22,,,,,,,,,"Arrow_small_darkElixirFire",,,,,,,,,,,,"Archer6",1,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,8,,48,,,500,,,,,,,25,,,,,,,,,"Arrow_small_darkElixirFire2",,,,,,,,,,,,"Archer7",1,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Goblin","TID_GOBLIN","TID_CHARACTER_INFO_GOBLIN","sc/characters.cs",1,4,1,400,25,28,"Elixir",25,12,"Elixir",50000,1,40,1000,11,2,,,,"sc/ui.sc","icon_unit_goblin","unit_goblin_big","sc/info_goblin.sc",,,"Resource","Goblin Deploy","Goblin Attack","Goblin Hit",,"false","false","true",,"Goblin Die","Goblin",1,"false",,0,"TombStone",,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,50,50,,"true",,,,,,,,,
,,,,,,1,,30,,,40,48,,250000,,,,14,,,,,,,,,,,,,,,,,,,,,"Goblin",1,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
